"id","name","description","price","price_category","category","flowers","seasonality","occasion","url"
"xof_chando_001","AROMA DEFFUSER MIDNIGHT PINE, SPICY CLOVE 40 ML","Difuzor de aromă Chando cu aromă de pin de miezul nopții și cuișoare picante, în design elegant din porțelan poros în formă de flori și elemente decorative","660","Budget","Chando","Difuzor aromă","All-Season","General","https://xoflowers.md/difuzor-de-aroma-midnight-pine-spicy-clove-40ml/"
"xof_chando_002","AROMA DEFFUSER ROYAL GUARD 10ML","Difuzor de aromă Chando Royal Guard în ambalaj luxos, cu elemente elegante din porțelan poros care absoarb perfect aroma-liquid","1250","Mid-Range","Chando","Difuzor aromă","All-Season","General","https://xoflowers.md/difuzor-de-aroma-royal-guard-10ml/"
"xof_chando_003","AROMA DEFFUSER ROMANCE 100ML","Difuzor de aromă Chando Romance cu aromă romantică, înlocuiește bețișoarele cu elemente elegante din porțelan poros sub formă de flori și crenguțe","2700","Premium","Chando","Difuzor aromă","All-Season","General","https://xoflowers.md/difuzor-de-aroma-romance-100ml/"
"xof_chando_004","AROMA DEFFUSER MAGNOLIA 200ML","Difuzor de aromă Chando Magnolia cu aromă florală delicată, design modern cu elemente din porțelan poros care difuzează parfumul în mod elegant","2800","Premium","Chando","Difuzor aromă","All-Season","General","https://xoflowers.md/difuzor-de-aroma-magnolia-200ml/"
"xof_chando_005","AROMA DEFFUSER SENSUAL CAMILLA 200ML","Difuzor de aromă Chando Sensual Camilla cu aromă senzuală de camelie, ambalaj luxos care face din acest difuzor un cadou scump și impresionant","2700","Premium","Chando","Difuzor aromă","All-Season","General","https://xoflowers.md/difuzor-de-aroma-sensual-camilla-200ml/"
"xof_chando_006","AROMA DEFFUSER FLORAL INTIMACY YELLOW 10ML","Difuzor de aromă Chando Floral Intimacy galben cu aromă florală intimă, interpret modern al artei antice a porțelanului cu elemente sub formă de scoici","990","Mid-Range","Chando","Difuzor aromă","All-Season","General","https://xoflowers.md/difuzor-de-aroma-floral-intimacy-yellow-10ml/"
"xof_chando_007","AROMA DEFFUSER FLORAL INTIMACY LILIAC 10ML","Difuzor de aromă Chando Floral Intimacy în nuanîă liliac cu aromă florală delicată, design elegant din porțelan poros care umple spaîiul cu un miros subtil","990","Mid-Range","Chando","Difuzor aromă","All-Season","General","https://xoflowers.md/difuzor-de-aroma-floral-intimacy-liliac-10ml/"
"xof_chando_008","AROMA DEFFUSER AMETHYST LOVE MINI, SENSUAL CAMELLIA 35 ML","Difuzor de aromă Chando Amethyst Love Mini cu aromă senzuală de camelie, versiune compactă în design modern cu elemente din porțelan poros","1250","Mid-Range","Chando","Difuzor aromă","All-Season","General","https://xoflowers.md/difuzor-de-aroma-amethyst-love-mini-sensual-camellia-35ml/"
"xof_chando_009","AROMA DEFFUSER AMETHYST LOVE MINI, FRESH LILY 35 ML","Difuzor de aromă Chando Amethyst Love Mini cu aromă proaspătă de crin, design compact cu elemente elegante din porțelan poros sub formă de flori","1250","Mid-Range","Chando","Difuzor aromă","All-Season","General","https://xoflowers.md/difuzor-de-aroma-amethyst-love-mini-fresh-lily-35ml/"
"xof_chando_010","AROMA DEFFUSER ADVENTUROUS, ORANGE BLOSSOM 80 ML","Difuzor de aromă Chando Adventurous cu aromă de flori de portocal, perfect pentru cei care iubesc parfumurile citrice și calde","850","Mid-Range","Chando","Difuzor aromă","All-Season","General","https://xoflowers.md/difuzor-de-aroma-adventurous-orange-blossom-80ml/"
"xof_chando_011","AROMA DEFFUSER ENIGMATIC LOTUS, FRESIA VALLEY 10 ML","Difuzor de aromă Chando Enigmatic Lotus cu aromă de lotus enigmatic și fresia valley, ambalaj luxos care face din acest difuzor un cadou special","1320","Mid-Range","Chando","Difuzor aromă","All-Season","General","https://xoflowers.md/difuzor-de-aroma-enigmatic-lotus-fresia-valley-10ml/"
"xof_peonies_001","Bouquet ""Marshmallow""","Elegant bouquet of peonies in soft pastel colors, perfect for romantic occasions and special celebrations","1200","Mid-Range","Peonies","Peonies","Spring-Summer","General","https://xoflowers.md/bouquet-marshmallow/"
"xof_peonies_002","Bouquet ""51 peonies""","Luxurious bouquet of 51 fresh peonies for grand gestures and special occasions","5600","Premium","Peonies","Peony","Spring-Summer","General","https://xoflowers.md/bouquet-51-peonies/"
"xof_peonies_003","Bouquet ""Coral""","Beautiful coral-colored peony bouquet with viburnum accents","650","Budget","Peonies","Peony / viburnum","Spring-Summer","General","https://xoflowers.md/bouquet-coral/"
"xof_peonies_004","Bouquet ""Coral Blossom""","Elegant coral peony arrangement with delicate viburnum details","1550","Mid-Range","Peonies","Peony / viburnum","Spring-Summer","General","https://xoflowers.md/peonies/"
"xof_peonies_005","Bouquet ""Luxurious Love""","Premium mixed bouquet with hydrangea, peonies, spray roses and gerberas","2800","Premium","Peonies","Hydrangea / peony / rose spray / gerbera","Spring-Summer","General","https://xoflowers.md/peonies/"
"xof_peonies_006","Bouquet ""Sweetness of Feeling""","Tender combination of hydrangeas and peonies in soft romantic colors","4400","Premium","Peonies","Hydrangea / peony","Spring-Summer","General","https://xoflowers.md/peonies/"
"xof_peonies_007","Bouquet ""Blue sky""","Fresh blue and white arrangement with hydrangeas and peonies","4600","Premium","Peonies","Hydrangea / peony","Spring-Summer","General","https://xoflowers.md/peonies/"
"xof_peonies_008","Basket with flowers ""Loving heart""","Heart-shaped basket arrangement with peonies and hydrangeas","5100","Premium","Peonies","Peony / hydrangea","Spring-Summer","General","https://xoflowers.md/peonies/"
"xof_peonies_009","Bouquet of peonies","Classic peony bouquet in premium arrangement","6200","Premium","Peonies","Peon","Spring-Summer","General","https://xoflowers.md/peonies/"
"xof_peonies_010","Basket with peonies","Elegant basket filled with fresh peonies - premium version","6100","Premium","Peonies","Peony","Spring-Summer","General","https://xoflowers.md/peonies/"
"xof_peonies_011","Basket with peonies","Beautiful basket arrangement with fresh peonies - standard version","3100","Premium","Peonies","Peony","Spring-Summer","General","https://xoflowers.md/peonies/"
"xof_peonies_012","Bouquet ""Pink palette""","Romantic pink bouquet with peonies, spray roses and classic roses","2000","Premium","Peonies","Peon / rose spray / rose","Spring-Summer","General","https://xoflowers.md/peonies/"
"xof_peonies_013","Bouquet ""Raspberry""","Unique bouquet with peonies and raspberry branches for a natural touch","3350","Premium","Peonies","Peon / raspberry branches","Spring-Summer","General","https://xoflowers.md/peonies/"
"xof_peonies_014","Bouquet of coral peonies","Beautiful coral-colored peonies with eucalyptus accents","700","Budget","Peonies","Peon / eucalypt","Spring-Summer","General","https://xoflowers.md/peonies/"
"xof_peonies_015","Bouquet of pink peonies","Soft pink peonies with fresh eucalyptus for a delicate arrangement","570","Budget","Peonies","Peon / eucalypt","Spring-Summer","General","https://xoflowers.md/bouquet-of-pink-peonies/"
"xof_peonies_016","Box with flowers ""Summer morning""","Mixed flower box with hydrangea, gerbera, peony, eustoma and mattiola","2000","Premium","Peonies","Hydrangea / gerbera / peony / eustoma / mattiola","Spring-Summer","General","https://xoflowers.md/peonies/"
"xof_peonies_017","Bouquet ""Warmth""","Warm and bright bouquet combining peonies with cheerful gerberas","1750","Mid-Range","Peonies","Peony / gerbera","Spring-Summer","General","https://xoflowers.md/peonies/"
"xof_peonies_018","Buchet ""Marshmallow""","Delicate marshmallow-colored peonies with oxypetalum details","1615","Mid-Range","Peonies","Peonies / oxypetalum","Spring-Summer","General","https://xoflowers.md/peonies/"
"xof_peonies_019","Bouquet ""Sarah""","Classic peony bouquet named Sarah, perfect for any occasion","1650","Mid-Range","Peonies","Peonies","Spring-Summer","General","https://xoflowers.md/peonies/"
"xof_peonies_020","Bouquet ""Kisses""","Romantic bouquet with peonies and hydrangeas for sweet moments","1100","Mid-Range","Peonies","Pieony / hydrangea","Spring-Summer","General","https://xoflowers.md/peonies/"
