"id","name","description","price","category","flowers","url"
"xof_chando_001","AROMA DEFFUSER MIDNIGHT PINE, SPICY CLOVE 40 ML","Difuzor de aromДѓ Chando cu aromДѓ de pin de miezul nopИ›ii И™i cuiИ™oare picante, Г®n design elegant din porИ›elan poros Г®n formДѓ de flori И™i elemente decorative","660","Chando","Difuzor aromДѓ","https://xoflowers.md/difuzor-de-aroma-midnight-pine-spicy-clove-40ml/"
"xof_chando_002","AROMA DEFFUSER ROYAL GUARD 10ML","Difuzor de aromДѓ Chando Royal Guard Г®n ambalaj luxos, cu elemente elegante din porИ›elan poros care absoarb perfect aroma-liquid","1250","Chando","Difuzor aromДѓ","https://xoflowers.md/difuzor-de-aroma-royal-guard-10ml/"
"xof_chando_003","AROMA DEFFUSER ROMANCE 100ML","Difuzor de aromДѓ Chando Romance cu aromДѓ romanticДѓ, Г®nlocuieИ™te beИ›iИ™oarele cu elemente elegante din porИ›elan poros sub formДѓ de flori И™i crenguИ›e","2700","Chando","Difuzor aromДѓ","https://xoflowers.md/difuzor-de-aroma-romance-100ml/"
"xof_chando_004","AROMA DEFFUSER MAGNOLIA 200ML","Difuzor de aromДѓ Chando Magnolia cu aromДѓ floralДѓ delicatДѓ, design modern cu elemente din porИ›elan poros care difuzeazДѓ parfumul Г®n mod elegant","2800","Chando","Difuzor aromДѓ","https://xoflowers.md/difuzor-de-aroma-magnolia-200ml/"
"xof_chando_005","AROMA DEFFUSER SENSUAL CAMILLA 200ML","Difuzor de aromДѓ Chando Sensual Camilla cu aromДѓ senzualДѓ de camelie, ambalaj luxos care face din acest difuzor un cadou scump И™i impresionant","2700","Chando","Difuzor aromДѓ","https://xoflowers.md/difuzor-de-aroma-sensual-camilla-200ml/"
"xof_chando_006","AROMA DEFFUSER FLORAL INTIMACY YELLOW 10ML","Difuzor de aromДѓ Chando Floral Intimacy galben cu aromДѓ floralДѓ intimДѓ, interpret modern al artei antice a porИ›elanului cu elemente sub formДѓ de scoici","990","Chando","Difuzor aromДѓ","https://xoflowers.md/difuzor-de-aroma-floral-intimacy-yellow-10ml/"
"xof_chando_007","AROMA DEFFUSER FLORAL INTIMACY LILIAC 10ML","Difuzor de aromДѓ Chando Floral Intimacy Г®n nuanИ›Дѓ liliac cu aromДѓ floralДѓ delicatДѓ, design elegant din porИ›elan poros care umple spaИ›iul cu un miros subtil","990","Chando","Difuzor aromДѓ","https://xoflowers.md/difuzor-de-aroma-floral-intimacy-liliac-10ml/"
"xof_chando_008","AROMA DEFFUSER AMETHYST LOVE MINI, SENSUAL CAMELLIA 35 ML","Difuzor de aromДѓ Chando Amethyst Love Mini cu aromДѓ senzualДѓ de camelie, versiune compactДѓ Г®n design modern cu elemente din porИ›elan poros","1250","Chando","Difuzor aromДѓ","https://xoflowers.md/difuzor-de-aroma-amethyst-love-mini-sensual-camellia-35ml/"
"xof_chando_009","AROMA DEFFUSER AMETHYST LOVE MINI, FRESH LILY 35 ML","Difuzor de aromДѓ Chando Amethyst Love Mini cu aromДѓ proaspДѓtДѓ de crin, design compact cu elemente elegante din porИ›elan poros sub formДѓ de flori","1250","Chando","Difuzor aromДѓ","https://xoflowers.md/difuzor-de-aroma-amethyst-love-mini-fresh-lily-35ml/"
"xof_chando_010","AROMA DEFFUSER ADVENTUROUS, ORANGE BLOSSOM 80 ML","Difuzor de aromДѓ Chando Adventurous cu aromДѓ de flori de portocal, perfect pentru cei care iubesc parfumurile citrice И™i calde","850","Chando","Difuzor aromДѓ","https://xoflowers.md/difuzor-de-aroma-adventurous-orange-blossom-80ml/"
"xof_chando_011","AROMA DEFFUSER ENIGMATIC LOTUS, FRESIA VALLEY 10 ML","Difuzor de aromДѓ Chando Enigmatic Lotus cu aromДѓ de lotus enigmatic И™i fresia valley, ambalaj luxos care face din acest difuzor un cadou special","1320","Chando","Difuzor aromДѓ","https://xoflowers.md/difuzor-de-aroma-enigmatic-lotus-fresia-valley-10ml/"
"xof_peonies_001","Bouquet ""Marshmallow""","Elegant bouquet of peonies in soft pastel colors, perfect for romantic occasions and special celebrations","1200","Peonies","Peonies","https://xoflowers.md/bouquet-marshmallow/"
"xof_peonies_002","Bouquet ""51 peonies""","Luxurious bouquet of 51 fresh peonies for grand gestures and special occasions","5600","Peonies","Peony","https://xoflowers.md/bouquet-51-peonies/"
"xof_peonies_003","Bouquet ""Coral""","Beautiful coral-colored peony bouquet with viburnum accents","650","Peonies","Peony / viburnum","https://xoflowers.md/bouquet-coral/"
"xof_peonies_004","Bouquet ""Coral Blossom""","Elegant coral peony arrangement with delicate viburnum details","1550","Peonies","Peony / viburnum","https://xoflowers.md/peonies/"
"xof_peonies_005","Bouquet ""Luxurious Love""","Premium mixed bouquet with hydrangea, peonies, spray roses and gerberas","2800","Peonies","Hydrangea / peony / rose spray / gerbera","https://xoflowers.md/peonies/"
"xof_peonies_006","Bouquet ""Sweetness of Feeling""","Tender combination of hydrangeas and peonies in soft romantic colors","4400","Peonies","Hydrangea / peony","https://xoflowers.md/peonies/"
"xof_peonies_007","Bouquet ""Blue sky""","Fresh blue and white arrangement with hydrangeas and peonies","4600","Peonies","Hydrangea / peony","https://xoflowers.md/peonies/"
"xof_peonies_008","Basket with flowers ""Loving heart""","Heart-shaped basket arrangement with peonies and hydrangeas","5100","Peonies","Peony / hydrangea","https://xoflowers.md/peonies/"
"xof_peonies_009","Bouquet of peonies","Classic peony bouquet in premium arrangement","6200","Peonies","Peon","https://xoflowers.md/peonies/"
"xof_peonies_010","Basket with peonies","Elegant basket filled with fresh peonies - premium version","6100","Peonies","Peony","https://xoflowers.md/peonies/"
"xof_peonies_011","Basket with peonies","Beautiful basket arrangement with fresh peonies - standard version","3100","Peonies","Peony","https://xoflowers.md/peonies/"
"xof_peonies_012","Bouquet ""Pink palette""","Romantic pink bouquet with peonies, spray roses and classic roses","2000","Peonies","Peon / rose spray / rose","https://xoflowers.md/peonies/"
"xof_peonies_013","Bouquet ""Raspberry""","Unique bouquet with peonies and raspberry branches for a natural touch","3350","Peonies","Peon / raspberry branches","https://xoflowers.md/peonies/"
"xof_peonies_014","Bouquet of coral peonies","Beautiful coral-colored peonies with eucalyptus accents","700","Peonies","Peon / eucalypt","https://xoflowers.md/peonies/"
"xof_peonies_015","Bouquet of pink peonies","Soft pink peonies with fresh eucalyptus for a delicate arrangement","570","Peonies","Peon / eucalypt","https://xoflowers.md/bouquet-of-pink-peonies/"
"xof_peonies_016","Box with flowers ""Summer morning""","Mixed flower box with hydrangea, gerbera, peony, eustoma and mattiola","2000","Peonies","Hydrangea / gerbera / peony / eustoma / mattiola","https://xoflowers.md/peonies/"
"xof_peonies_017","Bouquet ""Warmth""","Warm and bright bouquet combining peonies with cheerful gerberas","1750","Peonies","Peony / gerbera","https://xoflowers.md/peonies/"
"xof_peonies_018","Buchet ""Marshmallow""","Delicate marshmallow-colored peonies with oxypetalum details","1615","Peonies","Peonies / oxypetalum","https://xoflowers.md/peonies/"
"xof_peonies_019","Bouquet ""Sarah""","Classic peony bouquet named Sarah, perfect for any occasion","1650","Peonies","Peonies","https://xoflowers.md/peonies/"
"xof_peonies_020","Bouquet ""Kisses""","Romantic bouquet with peonies and hydrangeas for sweet moments","1100","Peonies","Pieony / hydrangea","https://xoflowers.md/peonies/"
"xof_peonies_021","Bouquet ""The scent of peonies""","Fragrant peony bouquet with tanacetum for added texture","1550","Peonies","Peonies / tanacetum","https://xoflowers.md/bouquet-the-scent-of-peonies/"
"xof_peonies_022","Bouquet ""Charm""","Charming small bouquet with peonies and sweet matiola","565","Peonies","Peony / matiola","https://xoflowers.md/peonies/"
"xof_peonies_023","Basket with peonies Coral Charm","Coral Charm peonies arranged in elegant basket - available in multiple sizes","1450","Peonies","Peonies","https://xoflowers.md/peonies/"
"xof_peonies_024","Basket with flowers ""Glints of Summer""","Summer-inspired basket with peony, carnation, rose and mallucella","1700","Peonies","Peony / carnation / rose / mallucella","https://xoflowers.md/peonies/"
"xof_peonies_025","Bouquet ""Poetry""","Poetic arrangement of hydrangeas, peonies and eucalyptus","1450","Peonies","Hydrangea / peony / eucalyptus","https://xoflowers.md/peonies/"
"xof_peonies_026","Bouquet ""A gentle angel""","Angelic white and soft pink peony arrangement","2100","Peonies","Peonies","https://xoflowers.md/peonies/"
